Asset,Mean,Median,Variance,Skewness,Kurtosis,JB_pvalue
AMZN,0.001055585125607315,0.001141990874290171,0.0004232688063444079,0.1578262701907485,5.791270113716605,0.0
NFLX,0.0011466058340528675,0.0004972969946091874,0.000773380834054751,-1.3772874630057523,29.72702112694386,0.0
PYPL,0.0003531650308887643,0.0010294992967683067,0.000581646796129799,-0.7794779034053365,11.989993468836543,0.0
PEP,0.0001893878432111474,0.0003853652824314343,0.00013917601690158817,-0.5681316964002523,21.41951766252335,0.0
NKE,0.00018502438118914833,0.00030859017685993037,0.0003527502314249021,-0.5991166552969679,16.17306982802856,0.0
NASDAQ-100,0.0006373133222718933,0.0011710791333196797,0.00019383643953757552,-0.5300826337559863,7.157176274511176,0.0
portfolio,0.0006048945209262037,0.0011764618567863389,0.0002195081261564638,-0.585153242539761,6.20131709023347,0.0
